
============================================================
  DEVICE: SW02-PoE-48P-HALA-2  [10.0.100.12]  vendor: cisco
============================================================

Timestamp : 2026-05-15 12:24:00


------------------------------------------------------------
  CMD: show log
------------------------------------------------------------

Syslog logging: enabled (0 messages dropped, 0 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: level informational, 15141 messages logged, xml disabled,
                     filtering disabled
    Monitor logging: level debugging, 0 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 15198 messages logged, xml disabled,
                     filtering disabled
    Exception Logging: size (4096 bytes)
    Count and timestamp logging messages: disabled
    File logging: disabled
    Persistent logging: disabled

No active filter modules.

    Trap logging: level informational, 15145 message lines logged
Jan 23 14:47:07.952: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Jan 23 14:47:09.000: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Jan 23 14:47:10.002: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 23 14:47:13.001: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 23 14:47:14.002: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Jan 23 14:59:17.337: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Jan 23 14:59:18.339: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 23 16:26:59.108: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 23 16:27:01.111: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 23 16:27:03.921: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 23 16:27:04.923: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Jan 23 16:27:07.303: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Jan 23 16:27:08.310: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 23 16:27:14.061: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 23 16:27:15.063: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Jan 23 16:27:18.188: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Jan 23 16:27:19.189: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 23 19:20:25.708: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 23 19:20:27.716: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 23 21:43:48.523: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 23 21:43:49.530: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Jan 23 21:50:40.500: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 23 21:50:41.507: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Jan 23 21:50:45.801: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Jan 23 21:50:46.802: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 23 21:51:07.114: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 23 21:51:09.122: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 23 21:58:56.185: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 23 21:58:58.193: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 23 21:59:17.121: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 23 21:59:18.123: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 23 22:52:16.353: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 23 22:52:17.359: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Jan 23 22:52:19.782: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Jan 23 22:52:20.783: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 23 22:54:24.537: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 23 22:54:26.545: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 24 01:00:42.369: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 24 01:00:43.376: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Jan 24 01:00:45.887: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Jan 24 01:00:46.889: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 24 01:03:55.494: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 24 01:03:57.503: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 24 05:19:08.538: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 24 05:19:09.540: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Jan 24 05:19:12.135: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Jan 24 05:19:13.136: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 24 05:24:03.170: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 24 05:24:05.183: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 24 06:18:09.438: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/27, changed state to down
Jan 24 06:18:10.444: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/27, changed state to down
Jan 24 06:26:55.115: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 24 06:26:56.116: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Jan 24 06:26:58.795: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Jan 24 06:26:59.797: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 24 08:53:33.204: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 24 08:53:34.205: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 24 08:53:37.770: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 24 08:53:38.772: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 24 08:53:41.766: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 24 08:53:42.767: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 24 08:53:47.082: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 24 08:53:48.073: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 24 08:53:51.041: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 24 08:53:52.042: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 24 08:53:57.836: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 24 08:53:58.843: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 24 08:54:01.737: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 24 08:54:02.738: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 24 09:02:11.363: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 24 09:02:13.371: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 24 09:49:33.385: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/18, changed state to down
Jan 24 09:49:34.386: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/18, changed state to down
Jan 24 10:04:05.864: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/18, changed state to up
Jan 24 10:04:07.599: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/18, changed state to up
Jan 24 10:04:51.169: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/18, changed state to down
Jan 24 10:04:53.183: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/18, changed state to up
Jan 24 11:06:36.607: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/18, changed state to down
Jan 24 11:06:37.614: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/18, changed state to down
Jan 24 11:06:56.741: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/18, changed state to up
Jan 24 11:06:58.665: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/18, changed state to up
Jan 24 11:07:12.025: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/18, changed state to down
Jan 24 11:07:14.033: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/18, changed state to up
Jan 24 11:41:57.189: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/23, changed state to down
Jan 24 11:41:58.195: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/23, changed state to down
Jan 24 11:44:16.158: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 24 11:44:17.164: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Jan 24 11:48:23.030: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/18, changed state to down
Jan 24 11:48:24.032: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/18, changed state to down
Jan 24 11:54:16.485: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 24 11:54:18.493: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 26 05:31:23.606: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 26 05:31:24.607: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Jan 26 05:31:27.187: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Jan 26 05:31:28.189: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 26 05:32:04.083: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/27, changed state to up
Jan 26 05:32:05.084: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/27, changed state to up
Jan 26 05:32:56.824: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/18, changed state to up
Jan 26 05:32:58.695: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/18, changed state to up
Jan 26 05:33:11.919: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/18, changed state to down
Jan 26 05:33:13.953: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/18, changed state to up
Jan 26 05:33:26.888: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Jan 26 05:33:27.889: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Jan 26 05:33:41.049: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/23, changed state to up
Jan 26 05:33:42.051: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/23, changed state to up
Jan 26 05:46:39.680: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 26 05:46:41.677: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 26 05:46:47.135: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 26 05:46:48.142: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 26 05:46:51.115: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 26 05:46:52.116: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 26 05:46:56.452: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 26 05:46:57.459: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 26 05:47:00.411: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 26 05:47:01.412: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 26 05:47:08.181: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 26 05:47:09.193: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 26 05:47:12.129: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 26 05:47:13.131: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 26 06:11:54.847: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 26 06:11:56.630: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Jan 26 06:12:01.411: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 26 06:12:02.418: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Jan 26 06:12:03.635: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/23, changed state to down
Jan 26 06:12:04.641: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/23, changed state to down
Jan 26 06:12:05.349: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Jan 26 06:12:06.351: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 26 06:12:13.130: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/23, changed state to up
Jan 26 06:12:14.131: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/23, changed state to up
Jan 26 06:12:18.017: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 26 06:12:19.018: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Jan 26 06:12:24.901: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Jan 26 06:12:25.902: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 26 06:12:43.105: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 26 06:12:44.107: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Jan 26 06:12:47.352: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Jan 26 06:12:48.353: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 26 06:17:04.786: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/23, changed state to down
Jan 26 06:17:05.797: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/23, changed state to down
Jan 26 06:17:17.374: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/23, changed state to up
Jan 26 06:17:18.376: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/23, changed state to up
Jan 26 06:39:54.452: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 26 06:39:55.453: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Jan 26 06:40:22.461: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Jan 26 06:40:23.462: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Jan 26 07:44:31.095: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 26 07:44:32.097: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Jan 26 07:44:38.368: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Jan 26 07:44:39.380: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 26 07:44:44.119: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 26 07:44:45.126: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Jan 26 07:44:47.653: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Jan 26 07:44:48.655: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 26 07:48:41.733: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 26 07:48:42.735: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Jan 26 07:48:45.734: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Jan 26 07:48:46.735: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 26 07:48:53.913: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 26 07:48:54.914: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Jan 26 09:29:02.916: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 26 09:29:03.923: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Jan 26 09:29:31.591: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Jan 26 09:29:32.592: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Jan 26 10:32:52.151: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 26 10:32:53.147: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Jan 26 10:33:19.902: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Jan 26 10:33:20.904: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Jan 26 10:45:34.055: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 26 10:45:35.057: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Jan 26 10:45:37.563: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Jan 26 10:45:38.564: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 26 10:45:46.592: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 26 10:45:47.593: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Jan 26 10:45:50.272: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Jan 26 10:45:51.274: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 26 12:46:27.638: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 26 12:46:28.640: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Jan 26 12:46:58.547: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Jan 26 12:46:59.548: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Jan 26 16:48:27.447: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 26 16:48:29.455: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 26 16:56:13.456: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 26 16:56:14.463: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Jan 26 16:57:36.780: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Jan 26 16:57:37.781: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Jan 26 17:37:25.728: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 26 17:37:30.510: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 26 17:37:36.084: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 26 17:37:37.085: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Jan 26 17:37:40.221: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Jan 26 17:37:41.222: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 26 17:46:52.018: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 26 17:46:54.021: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 26 18:57:43.553: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 26 18:57:44.549: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Jan 26 18:58:32.886: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Jan 26 18:58:33.887: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Jan 26 19:32:27.783: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 26 19:32:28.784: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Jan 26 19:32:36.853: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Jan 26 19:32:37.855: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 26 20:01:04.139: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 26 20:01:05.141: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Jan 26 20:01:56.691: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Jan 26 20:01:57.692: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Jan 26 20:05:25.587: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 26 20:05:26.588: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
